forpa,tailo,sampa,ipa,ipa_tone
a,a,a,a,a_{0}
ah,ah,a?,aʔ,aʔ_{0}
ai,ai,ai,ai,ai_{0}
aih,aih,ai?,aiʔ,aiʔ_{0}
ainn,ainn,a~i~,ãi,ãi_{0}
ainnh,ainnh,a~i~?,ãiʔ,ãiʔ_{0}
ak,ak,ak,ak,ak_{0}
am,am,am,am,am_{0}
an,an,an,an,an_{0}
ang,ang,aN,aŋ,aŋ_{0}
ann,ann,a~,ã,ã_{0}
annh,annh,a~?,ãʔ,ãʔ_{0}
ap,ap,ap,ap,ap_{0}
at,at,at,at,at_{0}
au,au,au,au,au_{0}
aunn,aunn,a~u~,ãu,ãu_{0}
ba,pa,b-a,p-a,p-a_{0}
bah,pah,b-a?,p-aʔ,p-aʔ_{0}
bai,pai,b-ai,p-ai,p-ai_{0}
bainn,painn,b-a~i~,p-ãi,p-ãi_{0}
bak,pak,b-ak,p-ak,p-ak_{0}
ban,pan,b-an,p-an,p-an_{0}
bang,pang,b-aN,p-aŋ,p-aŋ_{0}
bann,pann,b-a~,p-ã,p-ã_{0}
bat,pat,b-at,p-at,p-at_{0}
bau,pau,b-au,p-au,p-au_{0}
bauh,pauh,b-au?,p-auʔ,p-auʔ_{0}
be,pe,b-E,p-e,p-e_{0}
beh,peh,b-E?,p-eʔ,p-eʔ_{0}
ben,pian,b-i-En,p-i-en,p-i_{0}-en_{0}
benn,penn,b-e~,p-ẽ,p-ẽ_{0}
ber,per,b-@,p-ə,p-ə_{0}
ber,po,b-@,p-ə,p-ə_{0}
berh,poh,b-@?,p-əʔ,p-əʔ_{0}
bet,piat,b-i-Et,p-i-et,p-i_{0}-et_{0}
bha,ba,B-a,b-a,b-a_{0}
bhah,bah,B-a?,b-aʔ,b-aʔ_{0}
bhai,bai,B-ai,b-ai,b-ai_{0}
bhak,bak,B-ak,b-ak,b-ak_{0}
bham,bam,B-am,b-am,b-am_{0}
bhan,ban,B-an,b-an,b-an_{0}
bhang,bang,B-aN,b-aŋ,b-aŋ_{0}
bhat,bat,B-at,b-at,b-at_{0}
bhau,bau,B-au,b-au,b-au_{0}
bhauh,bauh,B-au?,b-auʔ,b-auʔ_{0}
bhe,be,B-E,b-e,b-e_{0}
bheh,beh,B-E?,b-eʔ,b-eʔ_{0}
bhen,bian,B-i-En,b-i-en,b-i_{0}-en_{0}
bher,bo,B-@,b-ə,b-ə_{0}
bher,ber,B-@,b-ə,b-ə_{0}
bherh,berh,B-@?,b-əʔ,b-əʔ_{0}
bherh,boh,B-@?,b-əʔ,b-əʔ_{0}
bhet,biat,B-i-Et,b-i-et,b-i_{0}-et_{0}
bhi,bi,B-i,b-i,b-i_{0}
bhiang,biang,B-i-aN,b-i-aŋ,b-i_{0}-aŋ_{0}
bhiau,biau,B-i-au,b-i-au,b-i_{0}-au_{0}
bhien,bian,B-i-En,b-i-en,b-i_{0}-en_{0}
bhien,bian,B-i-En,b-i-en,b-i_{0}-en_{0}
bhier,bio,B-i-@,b-i-ə,b-i_{0}-ə_{0}
bhiet,biat,B-i-Et,b-i-et,b-i_{0}-et_{0}
bhih,bih,B-i?,b-iʔ,b-iʔ_{0}
bhik,bik,B-ik,b-ik,b-ik_{0}
bhin,bin,B-in,b-in,b-in_{0}
bhing,bing,B-iN,b-iŋ,b-iŋ_{0}
bhit,bit,B-it,b-it,b-it_{0}
bhiu,biu,B-i-u,b-i-u,b-i_{0}-u_{0}
bhng,bng,B-@N,b-ŋ̩,b-ŋ̩_{0}
bho,boo,B-O,b-ɔ,b-ɔ_{0}
bhok,bok,B-Ok,b-ɔk,b-ɔk_{0}
bhong,bong,B-ON,b-ɔŋ,b-ɔŋ_{0}
bhu,bu,B-u,b-u,b-u_{0}
bhua,bua,B-u-a,b-u-a,b-u_{0}-a_{0}
bhuah,buah,B-u-a?,b-u-aʔ,b-u_{0}-aʔ_{0}
bhuai,buai,B-u-ai,b-u-ai,b-u_{0}-ai_{0}
bhuaih,buaih,B-u-ai?,b-u-aiʔ,b-u_{0}-aiʔ_{0}
bhuan,buan,B-u-an,b-u-an,b-u_{0}-an_{0}
bhuat,buat,B-u-at,b-u-at,b-u_{0}-at_{0}
bhue,bue,B-u-E,b-u-e,b-u_{0}-e_{0}
bhueh,bueh,B-u-E?,b-u-eʔ,b-u_{0}-eʔ_{0}
bhuh,buh,B-u?,b-uʔ,b-uʔ_{0}
bhui,bui,B-u-i,b-u-i,b-u_{0}-i_{0}
bhun,bun,B-un,b-un,b-un_{0}
bhut,but,B-ut,b-ut,b-ut_{0}
bi,pi,b-i,p-i,p-i_{0}
bia,pia,b-i-a,p-i-a,p-i_{0}-a_{0}
biah,piah,b-i-a?,p-i-aʔ,p-i_{0}-aʔ_{0}
biak,piak,b-i-ak,p-i-ak,p-i_{0}-ak_{0}
biang,piang,b-i-aN,p-i-aŋ,p-i_{0}-aŋ_{0}
biann,piann,b-i~-a~,p-i-ã,p-i_{0}-ã_{0}
biau,piau,b-i-au,p-i-au,p-i_{0}-au_{0}
bien,pian,b-i-En,p-i-en,p-i_{0}-en_{0}
bier,pio,b-i-@,p-i-ə,p-i_{0}-ə_{0}
biet,piat,b-i-Et,p-i-et,p-i_{0}-et_{0}
bih,pih,b-i?,p-iʔ,p-iʔ_{0}
bik,pik,b-ik,p-ik,p-ik_{0}
bin,pin,b-in,p-in,p-in_{0}
bing,ping,b-iN,p-iŋ,p-iŋ_{0}
binn,pinn,b-i~,p-ĩ,p-ĩ_{0}
bit,pit,b-it,p-it,p-it_{0}
biu,piu,b-i-u,p-i-u,p-i_{0}-u_{0}
bng,png,b-@N,p-ŋ̩,p-ŋ̩_{0}
bo,poo,b-O,p-ɔ,p-ɔ_{0}
bok,pok,b-Ok,p-ɔk,p-ɔk_{0}
bong,pong,b-ON,p-ɔŋ,p-ɔŋ_{0}
bonn,ponn,b-o~,p-ɔ̃,p-ɔ̃_{0}
bu,pu,b-u,p-u,p-u_{0}
bua,pua,b-u-a,p-u-a,p-u_{0}-a_{0}
buah,puah,b-u-a?,p-u-aʔ,p-u_{0}-aʔ_{0}
buan,puan,b-u-an,p-u-an,p-u_{0}-an_{0}
buann,puann,b-u~-a~,p-u-ã,p-u_{0}-ã_{0}
buat,puat,b-u-at,p-u-at,p-u_{0}-at_{0}
bue,pue,b-u-E,p-u-e,p-u_{0}-e_{0}
bueh,pueh,b-u-E?,p-u-eʔ,p-u_{0}-eʔ_{0}
buh,puh,b-u?,p-uʔ,p-uʔ_{0}
bui,pui,b-u-i,p-u-i,p-u_{0}-i_{0}
buih,puih,b-u-i?,p-u-iʔ,p-u_{0}-iʔ_{0}
buinn,puinn,b-u~-i~,p-u-ĩ,p-u_{0}-ĩ_{0}
bun,pun,b-un,p-un,p-un_{0}
but,put,b-ut,p-ut,p-ut_{0}
ca,tsha,ts-a,t͡sʰ-a,t͡sʰ-a_{0}
cah,tshah,ts-a?,t͡sʰ-aʔ,t͡sʰ-aʔ_{0}
cai,tshai,ts-ai,t͡sʰ-ai,t͡sʰ-ai_{0}
cainn,tshainn,ts-a~i~,t͡sʰ-ãi,t͡sʰ-ãi_{0}
cak,tshak,ts-ak,t͡sʰ-ak,t͡sʰ-ak_{0}
cam,tsham,ts-am,t͡sʰ-am,t͡sʰ-am_{0}
can,tshan,ts-an,t͡sʰ-an,t͡sʰ-an_{0}
cang,tshang,ts-aN,t͡sʰ-aŋ,t͡sʰ-aŋ_{0}
cann,tshann,ts-a~,t͡sʰ-ã,t͡sʰ-ã_{0}
cannh,tshannh,ts-a~?,t͡sʰ-ãʔ,t͡sʰ-ãʔ_{0}
cap,tshap,ts-ap,t͡sʰ-ap,t͡sʰ-ap_{0}
cat,tshat,ts-at,t͡sʰ-at,t͡sʰ-at_{0}
cau,tshau,ts-au,t͡sʰ-au,t͡sʰ-au_{0}
cauh,tshauh,ts-au?,t͡sʰ-auʔ,t͡sʰ-auʔ_{0}
ce,tshe,ts-E,t͡sʰ-e,t͡sʰ-e_{0}
ceh,tsheh,ts-E?,t͡sʰ-eʔ,t͡sʰ-eʔ_{0}
cen,tshian,ts-i-En,t͡sʰ-i-en,t͡sʰ-i_{0}-en_{0}
cenn,tshenn,ts-e~,t͡sʰ-ẽ,t͡sʰ-ẽ_{0}
cennh,tshennh,ts-e~?,t͡sʰ-ẽʔ,t͡sʰ-ẽʔ_{0}
